1,+,1,+,1,3,SOLVABLE
1,+,1,+,2,4,SOLVABLE
1,+,1,+,3,5,SOLVABLE
1,+,1,+,4,6,SOLVABLE
1,+,1,+,5,7,SOLVABLE
1,+,1,-,1,1,SOLVABLE
1,+,1,-,2,0,NO SOLUTION
1,+,1,-,3,-1,NO SOLUTION
1,+,1,-,4,-2,NO SOLUTION
1,+,1,-,5,-3,NO SOLUTION
1,+,1,*,1,2,SOLVABLE
1,+,1,*,2,3,SOLVABLE
1,+,1,*,3,4,SOLVABLE
1,+,1,*,4,5,SOLVABLE
1,+,1,*,5,6,SOLVABLE
1,+,1,/,1,2,SOLVABLE
1,+,1,/,2,1.5,NO SOLUTION
1,+,1,/,3,1.33,NO SOLUTION
1,+,1,/,4,1.25,NO SOLUTION
1,+,1,/,5,1.2,NO SOLUTION
1,+,2,+,1,4,SOLVABLE
1,+,2,+,2,5,SOLVABLE
1,+,2,+,3,6,SOLVABLE
1,+,2,+,4,7,SOLVABLE
1,+,2,+,5,8,SOLVABLE
1,+,2,-,1,2,SOLVABLE
1,+,2,-,2,1,SOLVABLE
1,+,2,-,3,0,NO SOLUTION
1,+,2,-,4,-1,NO SOLUTION
1,+,2,-,5,-2,NO SOLUTION
1,+,2,*,1,3,SOLVABLE
1,+,2,*,2,5,SOLVABLE
1,+,2,*,3,7,SOLVABLE
1,+,2,*,4,9,SOLVABLE
1,+,2,*,5,11,NO SOLUTION
1,+,2,/,1,3,SOLVABLE
1,+,2,/,2,2,SOLVABLE
1,+,2,/,3,1.67,NO SOLUTION
1,+,2,/,4,1.5,NO SOLUTION
1,+,2,/,5,1.4,NO SOLUTION
1,+,3,+,1,5,SOLVABLE
1,+,3,+,2,6,SOLVABLE
1,+,3,+,3,7,SOLVABLE
1,+,3,+,4,8,SOLVABLE
1,+,3,+,5,9,SOLVABLE
1,+,3,-,1,3,SOLVABLE
1,+,3,-,2,2,SOLVABLE
1,+,3,-,3,1,SOLVABLE
1,+,3,-,4,0,NO SOLUTION
1,+,3,-,5,-1,NO SOLUTION
1,+,3,*,1,4,SOLVABLE
1,+,3,*,2,7,SOLVABLE
1,+,3,*,3,10,SOLVABLE
1,+,3,*,4,13,NO SOLUTION
1,+,3,*,5,16,NO SOLUTION
1,+,3,/,1,4,SOLVABLE
1,+,3,/,2,2.5,NO SOLUTION
1,+,3,/,3,2,SOLVABLE
1,+,3,/,4,1.75,NO SOLUTION
1,+,3,/,5,1.6,NO SOLUTION
1,+,4,+,1,6,SOLVABLE
1,+,4,+,2,7,SOLVABLE
1,+,4,+,3,8,SOLVABLE
1,+,4,+,4,9,SOLVABLE
1,+,4,+,5,10,SOLVABLE
